id	cluster_size
NC_000913.3_1401	1
NC_000913.3_2254	1
NC_000913.3_3367	2
NC_000913.3_2584	1
NC_000913.3_968	1
NC_000913.3_2394	1
NC_000913.3_689	1
NC_000913.3_208	1
NC_000913.3_681	1
NC_000913.3_3241	1
NC_000913.3_1530	1
NC_000913.3_159	1
NC_000913.3_804	1
NC_000913.3_219	1
NC_000913.3_1260	1
NC_000913.3_1412	1
NC_000913.3_2529	1
NC_000913.3_3692	1
NC_000913.3_3712	1
NC_000913.3_1286	2
NC_000913.3_1990	1
NC_000913.3_3039	1
NC_000913.3_4309	2
NC_000913.3_349	1
NC_000913.3_2869	1
NC_000913.3_3826	1
NC_000913.3_600	1
NC_000913.3_1579	1
NC_000913.3_4155	1
NC_000913.3_1060	1
NC_000913.3_4148	2
NC_000913.3_3267	1
NC_000913.3_3501	2
NC_000913.3_4030	1
NC_000913.3_949	1
NC_000913.3_3304	1
NC_000913.3_2060	1
NC_000913.3_3297	1
NC_000913.3_3961	1
NC_000913.3_2969	1
NC_000913.3_3219	1
NC_000913.3_187	1
NC_000913.3_2675	1
NC_000913.3_556	1
NC_000913.3_645	1
NC_000913.3_881	1
NC_000913.3_2152	1
NC_000913.3_3349	1
NC_000913.3_1632	6
NC_000913.3_3655	1
NC_000913.3_2210	1
NC_000913.3_2277	1
NC_000913.3_4041	1
NC_000913.3_380	1
NC_000913.3_3159	1
NC_000913.3_731	2
NC_000913.3_1640	1
NC_000913.3_3620	1
NC_000913.3_3941	1
NC_000913.3_1742	1
NC_000913.3_856	1
NC_000913.3_1496	2
NC_000913.3_306	1
NC_000913.3_2038	1
NC_000913.3_2517	1
NC_000913.3_1881	1
NC_000913.3_3891	1
NC_000913.3_2127	1
NC_000913.3_1864	3
NC_000913.3_884	1
NC_000913.3_2659	1
NC_000913.3_2740	1
NC_000913.3_2975	1
NC_000913.3_469	2
NC_000913.3_3481	1
NC_000913.3_851	1
NC_000913.3_1087	3
NC_000913.3_3126	1
NC_000913.3_2203	1
NC_000913.3_1651	1
NC_000913.3_2252	1
NC_000913.3_2249	1
NC_000913.3_2575	1
NC_000913.3_1950	2
NC_000913.3_1021	4
NC_000913.3_3426	1
NC_000913.3_2950	1
NC_000913.3_1403	1
NC_000913.3_3722	1
NC_000913.3_108	1
NC_000913.3_998	1
NC_000913.3_3576	1
NC_000913.3_1416	1
NC_000913.3_2690	1
NC_000913.3_4091	1
NC_000913.3_1810	1
NC_000913.3_3403	1
NC_000913.3_3876	1
NC_000913.3_2322	1
NC_000913.3_3275	1
NC_000913.3_2663	1
NC_000913.3_1811	1
NC_000913.3_4025	4
NC_000913.3_3808	1
NC_000913.3_1370	1
NC_000913.3_3562	1
NC_000913.3_2377	1
NC_000913.3_278	1
NC_000913.3_336	1
NC_000913.3_875	2
NC_000913.3_3554	1
NC_000913.3_1824	1
NC_000913.3_2305	1
NC_000913.3_3212	1
NC_000913.3_498	1
NC_000913.3_843	1
NC_000913.3_1943	1
NC_000913.3_2758	2
NC_000913.3_1936	5
NC_000913.3_4150	2
NC_000913.3_2278	1
NC_000913.3_2507	1
NC_000913.3_1039	1
NC_000913.3_2253	1
NC_000913.3_2830	1
NC_000913.3_1634	1
NC_000913.3_844	1
NC_000913.3_1853	1
NC_000913.3_27	1
NC_000913.3_9	1
NC_000913.3_615	1
NC_000913.3_182	1
NC_000913.3_3057	1
NC_000913.3_4001	1
NC_000913.3_3350	1
NC_000913.3_463	1
NC_000913.3_3515	1
NC_000913.3_2446	1
NC_000913.3_3095	1
NC_000913.3_3726	1
NC_000913.3_2970	1
NC_000913.3_2406	1
NC_000913.3_872	1
NC_000913.3_603	1
NC_000913.3_2171	1
NC_000913.3_2302	1
NC_000913.3_880	1
NC_000913.3_3523	2
NC_000913.3_3917	1
NC_000913.3_2323	1
NC_000913.3_320	1
NC_000913.3_2641	1
NC_000913.3_3890	1
NC_000913.3_389	1
NC_000913.3_3217	1
NC_000913.3_1421	1
NC_000913.3_2255	1
NC_000913.3_2239	2
NC_000913.3_871	1
NC_000913.3_2167	1
NC_000913.3_2508	1
NC_000913.3_1759	1
NC_000913.3_3462	1
NC_000913.3_3812	1
NC_000913.3_3464	1
NC_000913.3_1903	2
NC_000913.3_2550	1
NC_000913.3_1638	1
NC_000913.3_1687	1
NC_000913.3_3670	1
NC_000913.3_1101	1
NC_000913.3_489	1
NC_000913.3_782	1
NC_000913.3_1394	2
NC_000913.3_1130	1
NC_000913.3_3811	1
NC_000913.3_3525	1
NC_000913.3_1410	1
NC_000913.3_3673	1
NC_000913.3_1504	2
NC_000913.3_3649	2
NC_000913.3_1154	1
NC_000913.3_1450	1
NC_000913.3_2105	1
NC_000913.3_2231	1
NC_000913.3_2075	1
NC_000913.3_1446	1
NC_000913.3_1827	1
NC_000913.3_2464	1
NC_000913.3_1849	6
NC_000913.3_4261	1
NC_000913.3_83	1
NC_000913.3_3364	1
NC_000913.3_4178	1
NC_000913.3_4079	1
NC_000913.3_3583	1
NC_000913.3_3174	1
NC_000913.3_2988	1
NC_000913.3_198	1
NC_000913.3_1650	1
NC_000913.3_4093	1
NC_000913.3_2178	1
NC_000913.3_1669	1
NC_000913.3_916	1
NC_000913.3_3580	1
NC_000913.3_3959	1
NC_000913.3_1128	1
NC_000913.3_1926	1
NC_000913.3_2230	1
NC_000913.3_3482	1
NC_000913.3_1765	1
NC_000913.3_2282	1
NC_000913.3_2160	1
NC_000913.3_837	1
NC_000913.3_2990	1
NC_000913.3_439	1
NC_000913.3_291	2
NC_000913.3_2414	1
NC_000913.3_2345	1
NC_000913.3_4200	1
NC_000913.3_1278	1
NC_000913.3_4052	1
NC_000913.3_275	1
NC_000913.3_98	1
NC_000913.3_1402	8
NC_000913.3_3845	1
NC_000913.3_4106	1
NC_000913.3_3084	1
NC_000913.3_3004	1
NC_000913.3_2143	1
NC_000913.3_2264	1
NC_000913.3_3894	1
NC_000913.3_2002	1
NC_000913.3_202	1
NC_000913.3_1195	1
NC_000913.3_3729	1
NC_000913.3_1882	1
NC_000913.3_2559	1
NC_000913.3_502	1
NC_000913.3_4216	1
NC_000913.3_334	1
NC_000913.3_1224	1
NC_000913.3_2390	1
NC_000913.3_1923	1
NC_000913.3_3650	1
NC_000913.3_3866	3
NC_000913.3_1793	2
NC_000913.3_314	1
NC_000913.3_3832	1
NC_000913.3_3909	1
NC_000913.3_3521	1
NC_000913.3_2691	1
NC_000913.3_544	1
NC_000913.3_3879	1
NC_000913.3_454	1
NC_000913.3_384	1
NC_000913.3_3130	1
NC_000913.3_3214	1
NC_000913.3_2829	1
NC_000913.3_2350	1
NC_000913.3_3312	1
NC_000913.3_26	1
NC_000913.3_4085	1
NC_000913.3_2916	1
NC_000913.3_3319	1
NC_000913.3_351	1
NC_000913.3_2695	1
NC_000913.3_1761	1
NC_000913.3_1156	1
NC_000913.3_3090	3
NC_000913.3_1209	1
NC_000913.3_1506	1
NC_000913.3_2715	1
NC_000913.3_3056	1
NC_000913.3_279	1
NC_000913.3_227	1
NC_000913.3_3455	1
NC_000913.3_4268	1
NC_000913.3_2209	1
NC_000913.3_338	1
NC_000913.3_74	2
NC_000913.3_2947	1
NC_000913.3_3877	1
NC_000913.3_798	1
NC_000913.3_1812	1
NC_000913.3_3416	1
NC_000913.3_1499	1
NC_000913.3_1146	1
NC_000913.3_3825	1
NC_000913.3_494	1
NC_000913.3_2417	1
NC_000913.3_671	1
NC_000913.3_3409	1
NC_000913.3_3773	1
NC_000913.3_3074	1
NC_000913.3_3916	1
NC_000913.3_1465	1
NC_000913.3_12	1
NC_000913.3_2267	1
NC_000913.3_4273	1
NC_000913.3_218	1
NC_000913.3_3070	1
NC_000913.3_455	1
NC_000913.3_1740	1
NC_000913.3_3675	1
NC_000913.3_31	1
NC_000913.3_211	1
NC_000913.3_2048	2
NC_000913.3_2516	1
NC_000913.3_144	1
NC_000913.3_3203	1
NC_000913.3_3094	1
NC_000913.3_1235	1
NC_000913.3_3133	1
NC_000913.3_2288	1
NC_000913.3_1186	1
NC_000913.3_2016	1
NC_000913.3_2776	1
NC_000913.3_1247	1
NC_000913.3_1124	1
NC_000913.3_2653	1
NC_000913.3_3510	2
NC_000913.3_3366	1
NC_000913.3_1212	1
NC_000913.3_806	1
NC_000913.3_3631	1
NC_000913.3_1106	1
NC_000913.3_3893	1
NC_000913.3_1542	7
NC_000913.3_142	1
NC_000913.3_2115	1
NC_000913.3_3092	1
NC_000913.3_2908	1
NC_000913.3_3204	1
NC_000913.3_2792	1
NC_000913.3_1891	1
NC_000913.3_3976	8
NC_000913.3_4233	1
NC_000913.3_3785	2
NC_000913.3_3542	1
NC_000913.3_2161	1
NC_000913.3_3949	1
NC_000913.3_1763	2
NC_000913.3_1885	1
NC_000913.3_533	1
NC_000913.3_243	4
NC_000913.3_474	2
NC_000913.3_1624	1
NC_000913.3_2079	1
NC_000913.3_2937	1
NC_000913.3_3698	1
NC_000913.3_2170	1
NC_000913.3_935	1
NC_000913.3_3986	1
NC_000913.3_207	1
NC_000913.3_835	1
NC_000913.3_1743	1
NC_000913.3_2183	1
NC_000913.3_2583	3
NC_000913.3_4033	1
NC_000913.3_486	1
NC_000913.3_2813	1
NC_000913.3_3177	1
NC_000913.3_1114	2
NC_000913.3_332	1
NC_000913.3_307	1
NC_000913.3_206	1
NC_000913.3_2198	1
NC_000913.3_3162	1
NC_000913.3_39	1
NC_000913.3_304	1
NC_000913.3_1197	1
NC_000913.3_1934	1
NC_000913.3_1486	1
NC_000913.3_3489	1
NC_000913.3_841	1
NC_000913.3_519	1
NC_000913.3_2047	1
NC_000913.3_1006	1
NC_000913.3_3585	1
NC_000913.3_3131	1
NC_000913.3_937	1
NC_000913.3_3088	1
NC_000913.3_3494	1
NC_000913.3_3637	1
NC_000913.3_3956	1
NC_000913.3_1118	1
NC_000913.3_433	1
NC_000913.3_3329	1
NC_000913.3_3694	1
NC_000913.3_193	1
NC_000913.3_3122	1
NC_000913.3_3178	1
NC_000913.3_2279	1
NC_000913.3_3026	1
NC_000913.3_4186	1
NC_000913.3_559	1
NC_000913.3_2455	1
NC_000913.3_705	1
NC_000913.3_2818	1
NC_000913.3_4209	1
NC_000913.3_1949	1
NC_000913.3_3271	1
NC_000913.3_2941	1
NC_000913.3_6	1
NC_000913.3_1547	1
NC_000913.3_2274	1
NC_000913.3_1739	1
NC_000913.3_3044	1
NC_000913.3_3441	1
NC_000913.3_3780	11
NC_000913.3_1011	1
NC_000913.3_1240	1
NC_000913.3_2468	1
NC_000913.3_4044	1
NC_000913.3_2163	1
NC_000913.3_865	1
NC_000913.3_2730	1
NC_000913.3_631	1
NC_000913.3_3720	1
NC_000913.3_2723	3
NC_000913.3_2736	1
NC_000913.3_1564	1
NC_000913.3_3458	1
NC_000913.3_2872	1
NC_000913.3_1453	1
NC_000913.3_1488	1
NC_000913.3_1120	1
NC_000913.3_133	1
NC_000913.3_3078	1
NC_000913.3_493	1
NC_000913.3_452	1
NC_000913.3_99	1
NC_000913.3_954	1
NC_000913.3_2493	1
NC_000913.3_3803	1
NC_000913.3_430	1
NC_000913.3_2764	1
NC_000913.3_2216	1
NC_000913.3_1569	1
NC_000913.3_984	1
NC_000913.3_1798	1
NC_000913.3_4303	1
NC_000913.3_807	1
NC_000913.3_487	1
NC_000913.3_503	1
NC_000913.3_1860	1
NC_000913.3_1940	1
NC_000913.3_2378	1
NC_000913.3_1419	1
NC_000913.3_3230	1
NC_000913.3_241	1
NC_000913.3_445	1
NC_000913.3_5	6
NC_000913.3_2259	1
NC_000913.3_3422	2
NC_000913.3_2610	1
NC_000913.3_3721	1
NC_000913.3_1044	1
NC_000913.3_1013	1
NC_000913.3_3380	1
NC_000913.3_925	1
NC_000913.3_256	1
NC_000913.3_736	1
NC_000913.3_4009	1
NC_000913.3_347	1
NC_000913.3_450	1
NC_000913.3_1043	2
NC_000913.3_2885	1
NC_000913.3_3071	1
NC_000913.3_2424	1
NC_000913.3_1750	25
NC_000913.3_3833	1
NC_000913.3_1935	1
NC_000913.3_2185	1
NC_000913.3_1014	1
NC_000913.3_3348	1
NC_000913.3_2150	1
NC_000913.3_43	2
NC_000913.3_686	1
NC_000913.3_1921	2
NC_000913.3_2613	1
NC_000913.3_3030	1
NC_000913.3_3760	1
NC_000913.3_166	1
NC_000913.3_629	1
NC_000913.3_3733	1
NC_000913.3_1710	2
NC_000913.3_4222	1
NC_000913.3_1799	1
NC_000913.3_4183	1
NC_000913.3_3008	1
NC_000913.3_4302	1
NC_000913.3_235	1
NC_000913.3_829	1
NC_000913.3_1964	1
NC_000913.3_302	1
NC_000913.3_2982	1
NC_000913.3_2196	1
NC_000913.3_437	1
NC_000913.3_3459	1
NC_000913.3_1158	1
NC_000913.3_3139	1
NC_000913.3_4078	1
NC_000913.3_940	1
NC_000913.3_3028	1
NC_000913.3_3395	1
NC_000913.3_1191	2
NC_000913.3_2354	2
NC_000913.3_3453	1
NC_000913.3_424	1
NC_000913.3_1554	1
NC_000913.3_2500	1
NC_000913.3_1295	1
NC_000913.3_1288	1
NC_000913.3_1353	1
NC_000913.3_301	1
NC_000913.3_3344	3
NC_000913.3_1196	1
NC_000913.3_1850	1
NC_000913.3_1997	1
NC_000913.3_4029	1
NC_000913.3_4126	1
NC_000913.3_1713	1
NC_000913.3_1072	1
NC_000913.3_318	1
NC_000913.3_3138	1
NC_000913.3_131	1
NC_000913.3_2474	1
NC_000913.3_1406	1
NC_000913.3_2642	1
NC_000913.3_117	1
NC_000913.3_3933	1
NC_000913.3_2855	1
NC_000913.3_783	1
NC_000913.3_1580	2
NC_000913.3_3407	1
NC_000913.3_2753	1
NC_000913.3_4056	2
NC_000913.3_3066	1
NC_000913.3_4225	1
NC_000913.3_659	1
NC_000913.3_258	1
NC_000913.3_4231	1
NC_000913.3_2433	1
NC_000913.3_956	1
NC_000913.3_3346	2
NC_000913.3_212	1
NC_000913.3_3818	1
NC_000913.3_2137	2
NC_000913.3_2554	1
NC_000913.3_3560	1
NC_000913.3_2270	1
NC_000913.3_3854	1
NC_000913.3_2619	1
NC_000913.3_3144	1
NC_000913.3_2514	1
NC_000913.3_359	1
NC_000913.3_1495	1
NC_000913.3_704	1
NC_000913.3_647	1
NC_000913.3_716	1
NC_000913.3_637	1
NC_000913.3_1025	1
NC_000913.3_1439	1
NC_000913.3_3238	1
NC_000913.3_3461	1
NC_000913.3_3688	12
NC_000913.3_4035	1
NC_000913.3_1431	1
NC_000913.3_371	1
NC_000913.3_3449	1
NC_000913.3_4166	4
NC_000913.3_1994	1
NC_000913.3_1475	1
NC_000913.3_3913	1
NC_000913.3_1275	1
NC_000913.3_2025	1
NC_000913.3_3639	1
NC_000913.3_2039	1
NC_000913.3_1318	1
NC_000913.3_915	1
NC_000913.3_972	1
NC_000913.3_1133	1
NC_000913.3_48	1
NC_000913.3_184	2
NC_000913.3_1483	1
NC_000913.3_978	1
NC_000913.3_3598	1
NC_000913.3_832	1
NC_000913.3_1854	1
NC_000913.3_2381	1
NC_000913.3_4197	1
NC_000913.3_4167	1
NC_000913.3_297	1
NC_000913.3_997	2
NC_000913.3_1525	1
NC_000913.3_2738	2
NC_000913.3_899	1
NC_000913.3_1112	1
NC_000913.3_1222	6
NC_000913.3_2960	1
NC_000913.3_2870	1
NC_000913.3_71	1
NC_000913.3_33	1
NC_000913.3_3495	3
NC_000913.3_1395	1
NC_000913.3_333	1
NC_000913.3_581	1
NC_000913.3_797	1
NC_000913.3_3469	2
NC_000913.3_2600	1
NC_000913.3_3545	1
NC_000913.3_4164	1
NC_000913.3_2388	1
NC_000913.3_1252	1
NC_000913.3_3082	1
NC_000913.3_128	1
NC_000913.3_2280	1
NC_000913.3_3929	1
NC_000913.3_3738	1
NC_000913.3_4034	1
NC_000913.3_1987	1
NC_000913.3_1908	11
NC_000913.3_582	1
NC_000913.3_4213	1
NC_000913.3_2917	1
NC_000913.3_776	1
NC_000913.3_4211	1
NC_000913.3_1846	1
NC_000913.3_102	1
NC_000913.3_1806	1
NC_000913.3_3194	1
NC_000913.3_1074	1
NC_000913.3_4104	2
NC_000913.3_2656	1
NC_000913.3_692	1
NC_000913.3_2272	1
NC_000913.3_2892	1
NC_000913.3_3970	2
NC_000913.3_1228	1
NC_000913.3_1627	1
NC_000913.3_4284	1
NC_000913.3_2215	1
NC_000913.3_808	1
NC_000913.3_472	2
NC_000913.3_790	1
NC_000913.3_826	1
NC_000913.3_2144	2
NC_000913.3_3746	1
NC_000913.3_11	1
NC_000913.3_2238	1
NC_000913.3_2244	1
NC_000913.3_2819	1
NC_000913.3_2081	1
NC_000913.3_2557	2
NC_000913.3_2091	1
NC_000913.3_3228	8
NC_000913.3_4236	3
NC_000913.3_1681	1
NC_000913.3_2051	1
NC_000913.3_2810	1
NC_000913.3_3597	2
NC_000913.3_1907	1
NC_000913.3_3417	1
NC_000913.3_4271	2
NC_000913.3_2124	1
NC_000913.3_1501	1
NC_000913.3_2046	1
NC_000913.3_447	1
NC_000913.3_1802	1
NC_000913.3_1635	1
NC_000913.3_4107	1
NC_000913.3_3034	1
NC_000913.3_3079	1
NC_000913.3_2732	2
NC_000913.3_3526	1
NC_000913.3_3288	1
NC_000913.3_3181	1
NC_000913.3_2496	1
NC_000913.3_2733	1
NC_000913.3_523	1
NC_000913.3_1382	1
NC_000913.3_3506	1
NC_000913.3_1289	1
NC_000913.3_2260	1
NC_000913.3_3681	1
NC_000913.3_4278	1
NC_000913.3_2705	3
NC_000913.3_4319	1
NC_000913.3_1477	4
NC_000913.3_479	1
NC_000913.3_3943	1
NC_000913.3_2681	1
NC_000913.3_1677	1
NC_000913.3_1695	1
NC_000913.3_1051	1
NC_000913.3_3055	1
NC_000913.3_293	5
NC_000913.3_4294	1
NC_000913.3_3315	1
NC_000913.3_1161	2
NC_000913.3_763	1
NC_000913.3_3568	1
NC_000913.3_3463	1
NC_000913.3_2168	1
NC_000913.3_3237	1
NC_000913.3_4175	3
NC_000913.3_2780	3
NC_000913.3_724	1
NC_000913.3_2136	1
NC_000913.3_381	1
NC_000913.3_2193	1
NC_000913.3_2211	2
NC_000913.3_3971	1
NC_000913.3_4097	1
NC_000913.3_1671	1
NC_000913.3_2181	1
NC_000913.3_4152	1
NC_000913.3_82	1
NC_000913.3_2636	1
NC_000913.3_2234	1
NC_000913.3_2911	1
NC_000913.3_2304	1
NC_000913.3_2386	1
NC_000913.3_3324	1
NC_000913.3_1166	1
NC_000913.3_2472	1
NC_000913.3_3166	1
NC_000913.3_3586	1
NC_000913.3_1789	1
NC_000913.3_225	1
NC_000913.3_1366	1
NC_000913.3_2438	1
NC_000913.3_2720	1
NC_000913.3_2214	1
NC_000913.3_632	1
NC_000913.3_1203	1
NC_000913.3_393	1
NC_000913.3_2903	1
NC_000913.3_1830	3
NC_000913.3_2506	1
NC_000913.3_1411	1
NC_000913.3_2488	1
NC_000913.3_1468	1
NC_000913.3_583	2
NC_000913.3_1035	1
NC_000913.3_2041	2
NC_000913.3_613	1
NC_000913.3_3442	1
NC_000913.3_1292	1
NC_000913.3_1141	1
NC_000913.3_1115	1
NC_000913.3_4252	1
NC_000913.3_1734	1
NC_000913.3_2107	1
NC_000913.3_230	1
NC_000913.3_2890	1
NC_000913.3_3882	1
NC_000913.3_1873	1
NC_000913.3_2782	1
NC_000913.3_1784	1
NC_000913.3_2787	4
NC_000913.3_1122	1
NC_000913.3_1551	3
NC_000913.3_169	1
NC_000913.3_1647	1
NC_000913.3_2094	1
NC_000913.3_4227	1
NC_000913.3_1848	1
NC_000913.3_1422	5
NC_000913.3_3844	1
NC_000913.3_3671	1
NC_000913.3_2864	1
NC_000913.3_3388	1
NC_000913.3_354	6
NC_000913.3_3075	1
NC_000913.3_34	1
NC_000913.3_2	1
NC_000913.3_1019	1
NC_000913.3_2618	1
NC_000913.3_2217	1
NC_000913.3_1399	5
NC_000913.3_2490	1
NC_000913.3_296	5
NC_000913.3_3570	1
NC_000913.3_3984	2
NC_000913.3_272	1
NC_000913.3_3613	2
NC_000913.3_329	1
NC_000913.3_1894	1
NC_000913.3_2883	1
NC_000913.3_4002	1
NC_000913.3_2380	1
NC_000913.3_663	1
NC_000913.3_134	1
NC_000913.3_3645	1
NC_000913.3_2482	1
NC_000913.3_4247	1
NC_000913.3_3566	1
NC_000913.3_2481	1
NC_000913.3_3895	1
NC_000913.3_4283	1
NC_000913.3_1700	1
NC_000913.3_3713	1
NC_000913.3_4065	1
NC_000913.3_714	1
NC_000913.3_2875	2
NC_000913.3_3467	1
NC_000913.3_4027	1
NC_000913.3_1350	2
NC_000913.3_3280	1
NC_000913.3_3033	1
NC_000913.3_3748	1
NC_000913.3_2070	1
NC_000913.3_1730	1
NC_000913.3_2646	2
NC_000913.3_2112	1
NC_000913.3_2312	1
NC_000913.3_2848	1
NC_000913.3_2096	1
NC_000913.3_1852	1
NC_000913.3_1720	1
NC_000913.3_4204	1
NC_000913.3_515	1
NC_000913.3_1103	1
NC_000913.3_557	1
NC_000913.3_1653	1
NC_000913.3_2956	3
NC_000913.3_4173	1
NC_000913.3_3923	2
NC_000913.3_1301	1
NC_000913.3_679	1
NC_000913.3_3015	1
NC_000913.3_468	1
NC_000913.3_596	1
NC_000913.3_2909	1
NC_000913.3_1016	1
NC_000913.3_2232	1
NC_000913.3_3081	1
NC_000913.3_587	1
NC_000913.3_312	1
NC_000913.3_1909	1
NC_000913.3_1722	1
NC_000913.3_3632	1
NC_000913.3_3136	1
NC_000913.3_1274	1
NC_000913.3_723	1
NC_000913.3_2020	1
NC_000913.3_2743	1
NC_000913.3_2803	1
NC_000913.3_2854	1
NC_000913.3_1507	1
NC_000913.3_1757	1
NC_000913.3_3575	1
NC_000913.3_63	1
NC_000913.3_2570	1
NC_000913.3_3577	1
NC_000913.3_68	2
NC_000913.3_497	1
NC_000913.3_3531	1
NC_000913.3_1973	1
NC_000913.3_3830	1
NC_000913.3_967	1
NC_000913.3_549	1
NC_000913.3_3658	1
NC_000913.3_1953	1
NC_000913.3_2836	2
NC_000913.3_2000	2
NC_000913.3_1839	1
NC_000913.3_3828	1
NC_000913.3_1472	1
NC_000913.3_3251	1
NC_000913.3_3343	1
NC_000913.3_962	1
NC_000913.3_3600	1
NC_000913.3_2709	1
NC_000913.3_558	1
NC_000913.3_4241	1
NC_000913.3_757	1
NC_000913.3_341	1
NC_000913.3_1731	1
NC_000913.3_3491	1
NC_000913.3_3163	1
NC_000913.3_3874	1
NC_000913.3_376	1
NC_000913.3_743	1
NC_000913.3_3210	1
NC_000913.3_2337	1
NC_000913.3_2922	2
NC_000913.3_4133	1
NC_000913.3_2725	1
NC_000913.3_1057	1
NC_000913.3_3135	1
NC_000913.3_3018	1
NC_000913.3_564	1
NC_000913.3_952	1
NC_000913.3_1862	2
NC_000913.3_480	1
NC_000913.3_1082	1
NC_000913.3_1331	1
NC_000913.3_129	1
NC_000913.3_4168	1
NC_000913.3_3146	1
NC_000913.3_2192	1
NC_000913.3_1307	1
NC_000913.3_891	1
NC_000913.3_1317	1
