source	target	abs_weight	norm_weight
NC_000913.3_2522	NC_000913.3_2521	1	1.0
NC_000913.3_2678	NC_000913.3_3152	1	0.3333333333333333
NC_000913.3_2678	NC_000913.3_1249	1	1.0
NC_000913.3_1454	NC_000913.3_2905	1	0.3333333333333333
NC_000913.3_1184	NC_000913.3_1183	1	1.0
NC_000913.3_1184	NC_000913.3_1185	1	1.0
NC_000913.3_106	NC_000913.3_105	1	1.0
NC_000913.3_3310	NC_000913.3_1659	1	0.2
NC_000913.3_3310	NC_000913.3_1258	1	0.05
NC_000913.3_3310	NC_000913.3_2922	1	0.1
NC_000913.3_3310	NC_000913.3_158	1	0.03333333333333333
NC_000913.3_3310	NC_000913.3_3668	1	0.2
NC_000913.3_2807	NC_000913.3_1329	1	1.0
NC_000913.3_3519	NC_000913.3_1021	1	0.25
NC_000913.3_571	NC_000913.3_1006	1	0.14285714285714285
NC_000913.3_571	NC_000913.3_3135	1	0.14285714285714285
NC_000913.3_571	NC_000913.3_4078	1	0.14285714285714285
NC_000913.3_571	NC_000913.3_2426	1	0.03571428571428571
NC_000913.3_571	NC_000913.3_3232	1	0.14285714285714285
NC_000913.3_571	NC_000913.3_3234	1	0.14285714285714285
NC_000913.3_571	NC_000913.3_4104	1	0.07142857142857142
NC_000913.3_690	NC_000913.3_691	1	1.0
NC_000913.3_458	NC_000913.3_1188	1	1.0
NC_000913.3_2786	NC_000913.3_2785	1	0.5
NC_000913.3_2208	NC_000913.3_2209	1	1.0
NC_000913.3_2483	NC_000913.3_344	1	0.25
NC_000913.3_2483	NC_000913.3_1839	1	0.25
NC_000913.3_2483	NC_000913.3_4023	1	0.25
NC_000913.3_1223	NC_000913.3_3193	1	0.14285714285714285
NC_000913.3_1417	NC_000913.3_1418	1	1.0
NC_000913.3_1125	NC_000913.3_1124	1	1.0
NC_000913.3_2635	NC_000913.3_3249	1	0.5
NC_000913.3_1733	NC_000913.3_1732	1	1.0
NC_000913.3_1733	NC_000913.3_1734	1	1.0
NC_000913.3_2628	NC_000913.3_3696	1	0.5
NC_000913.3_2628	NC_000913.3_3698	1	0.5
NC_000913.3_1796	NC_000913.3_1795	1	1.0
NC_000913.3_2023	NC_000913.3_2022	1	1.0
NC_000913.3_2023	NC_000913.3_2024	1	1.0
NC_000913.3_1728	NC_000913.3_1729	1	1.0
NC_000913.3_3069	NC_000913.3_3068	1	1.0
NC_000913.3_2896	NC_000913.3_2897	1	1.0
NC_000913.3_1673	NC_000913.3_1863	1	0.16666666666666666
NC_000913.3_1673	NC_000913.3_90	1	0.5
NC_000913.3_1524	NC_000913.3_1348	1	1.0
NC_000913.3_1524	NC_000913.3_549	1	1.0
NC_000913.3_2458	NC_000913.3_2457	1	0.2
NC_000913.3_3466	NC_000913.3_3220	1	0.25
NC_000913.3_3551	NC_000913.3_3552	1	0.5
NC_000913.3_130	NC_000913.3_370	1	0.25
NC_000913.3_130	NC_000913.3_1341	1	0.08333333333333333
NC_000913.3_130	NC_000913.3_3055	1	0.25
NC_000913.3_2842	NC_000913.3_2841	1	1.0
NC_000913.3_2842	NC_000913.3_2843	1	1.0
NC_000913.3_1234	NC_000913.3_1235	1	1.0
NC_000913.3_4226	NC_000913.3_4225	1	1.0
NC_000913.3_1609	NC_000913.3_1608	1	1.0
NC_000913.3_1609	NC_000913.3_1610	1	1.0
NC_000913.3_773	NC_000913.3_772	1	1.0
NC_000913.3_3535	NC_000913.3_3534	1	1.0
NC_000913.3_505	NC_000913.3_504	1	1.0
NC_000913.3_505	NC_000913.3_506	1	1.0
NC_000913.3_2698	NC_000913.3_2697	1	1.0
NC_000913.3_2698	NC_000913.3_2699	1	1.0
NC_000913.3_79	NC_000913.3_78	1	1.0
NC_000913.3_79	NC_000913.3_80	1	1.0
NC_000913.3_3334	NC_000913.3_3333	1	1.0
NC_000913.3_1398	NC_000913.3_2991	1	0.3333333333333333
NC_000913.3_1398	NC_000913.3_537	1	0.3333333333333333
NC_000913.3_41	NC_000913.3_3887	1	0.5
NC_000913.3_41	NC_000913.3_627	1	0.5
NC_000913.3_41	NC_000913.3_629	1	0.5
NC_000913.3_2596	NC_000913.3_1321	1	0.3333333333333333
NC_000913.3_1888	NC_000913.3_1161	1	0.5
NC_000913.3_874	NC_000913.3_3044	1	0.5
NC_000913.3_1473	NC_000913.3_1472	1	1.0
NC_000913.3_1550	NC_000913.3_3175	1	0.3333333333333333
NC_000913.3_3574	NC_000913.3_3657	1	1.0
NC_000913.3_3477	NC_000913.3_3602	1	1.0
NC_000913.3_3477	NC_000913.3_3604	1	1.0
NC_000913.3_3283	NC_000913.3_3282	1	0.5
NC_000913.3_3283	NC_000913.3_2945	1	0.1
NC_000913.3_2042	NC_000913.3_2041	1	0.25
NC_000913.3_2042	NC_000913.3_3198	1	0.125
NC_000913.3_422	NC_000913.3_1542	1	0.14285714285714285
NC_000913.3_422	NC_000913.3_661	1	0.0625
NC_000913.3_1145	NC_000913.3_3373	1	0.2
NC_000913.3_1145	NC_000913.3_1146	1	1.0
NC_000913.3_3947	NC_000913.3_2599	1	0.125
NC_000913.3_1023	NC_000913.3_1022	1	1.0
NC_000913.3_2658	NC_000913.3_2659	1	1.0
NC_000913.3_771	NC_000913.3_770	1	1.0
NC_000913.3_771	NC_000913.3_772	1	1.0
NC_000913.3_47	NC_000913.3_48	1	1.0
NC_000913.3_2284	NC_000913.3_3613	1	0.5
NC_000913.3_2721	NC_000913.3_2722	1	1.0
NC_000913.3_266	NC_000913.3_267	1	1.0
NC_000913.3_1358	NC_000913.3_1357	1	1.0
NC_000913.3_1358	NC_000913.3_1359	1	1.0
NC_000913.3_4160	NC_000913.3_4159	1	1.0
NC_000913.3_2004	NC_000913.3_2003	1	0.5
NC_000913.3_2004	NC_000913.3_2901	1	0.25
NC_000913.3_4114	NC_000913.3_4113	1	1.0
NC_000913.3_4114	NC_000913.3_4115	1	1.0
NC_000913.3_66	NC_000913.3_3932	1	1.0
NC_000913.3_2752	NC_000913.3_2751	1	1.0
NC_000913.3_3565	NC_000913.3_3564	1	1.0
NC_000913.3_3565	NC_000913.3_3566	1	1.0
NC_000913.3_3683	NC_000913.3_3684	1	1.0
NC_000913.3_2971	NC_000913.3_2972	1	1.0
NC_000913.3_2254	NC_000913.3_2253	1	1.0
NC_000913.3_2254	NC_000913.3_2255	1	1.0
NC_000913.3_2394	NC_000913.3_3608	1	0.3333333333333333
NC_000913.3_208	NC_000913.3_209	1	1.0
NC_000913.3_3241	NC_000913.3_2408	1	0.2
NC_000913.3_3241	NC_000913.3_1919	1	0.25
NC_000913.3_1530	NC_000913.3_1529	1	1.0
NC_000913.3_1530	NC_000913.3_1531	1	1.0
NC_000913.3_804	NC_000913.3_803	1	1.0
NC_000913.3_2529	NC_000913.3_3193	1	0.14285714285714285
NC_000913.3_1286	NC_000913.3_3053	1	0.25
NC_000913.3_1286	NC_000913.3_1287	1	0.5
NC_000913.3_1990	NC_000913.3_1989	1	1.0
NC_000913.3_1990	NC_000913.3_1991	1	1.0
NC_000913.3_3039	NC_000913.3_42	1	0.5
NC_000913.3_3039	NC_000913.3_1222	1	0.16666666666666666
NC_000913.3_4309	NC_000913.3_930	1	0.5
NC_000913.3_349	NC_000913.3_414	1	1.0
NC_000913.3_3826	NC_000913.3_3688	1	0.08333333333333333
NC_000913.3_1579	NC_000913.3_1578	1	1.0
NC_000913.3_4148	NC_000913.3_2102	1	0.027777777777777776
NC_000913.3_3501	NC_000913.3_3500	1	0.5
NC_000913.3_949	NC_000913.3_1181	1	0.5
NC_000913.3_949	NC_000913.3_950	1	1.0
NC_000913.3_2060	NC_000913.3_2964	1	1.0
NC_000913.3_2060	NC_000913.3_470	1	0.5
NC_000913.3_3297	NC_000913.3_2459	1	0.5
NC_000913.3_2969	NC_000913.3_4256	1	0.07692307692307693
NC_000913.3_187	NC_000913.3_186	1	1.0
NC_000913.3_187	NC_000913.3_188	1	1.0
NC_000913.3_2675	NC_000913.3_2674	1	1.0
NC_000913.3_556	NC_000913.3_557	1	1.0
NC_000913.3_645	NC_000913.3_646	1	1.0
NC_000913.3_3349	NC_000913.3_3348	1	1.0
NC_000913.3_1632	NC_000913.3_354	3	0.08333333333333333
NC_000913.3_3655	NC_000913.3_3654	1	1.0
NC_000913.3_2210	NC_000913.3_2209	1	1.0
NC_000913.3_2277	NC_000913.3_2276	1	1.0
NC_000913.3_2277	NC_000913.3_2278	1	1.0
NC_000913.3_731	NC_000913.3_569	1	0.125
NC_000913.3_3941	NC_000913.3_3940	1	1.0
NC_000913.3_1742	NC_000913.3_2457	1	0.2
NC_000913.3_856	NC_000913.3_4183	1	1.0
NC_000913.3_1496	NC_000913.3_2317	1	0.25
NC_000913.3_306	NC_000913.3_3346	1	0.5
NC_000913.3_306	NC_000913.3_307	1	1.0
NC_000913.3_3891	NC_000913.3_3890	1	1.0
NC_000913.3_2127	NC_000913.3_2126	1	1.0
NC_000913.3_1864	NC_000913.3_954	1	0.3333333333333333
NC_000913.3_2740	NC_000913.3_1986	1	1.0
NC_000913.3_2740	NC_000913.3_1988	1	1.0
NC_000913.3_2975	NC_000913.3_2974	1	1.0
NC_000913.3_3481	NC_000913.3_3480	1	1.0
NC_000913.3_1087	NC_000913.3_4137	1	0.16666666666666666
NC_000913.3_1087	NC_000913.3_833	1	0.05555555555555555
NC_000913.3_1087	NC_000913.3_767	1	0.3333333333333333
NC_000913.3_3126	NC_000913.3_3125	1	1.0
NC_000913.3_3126	NC_000913.3_3127	1	1.0
NC_000913.3_2203	NC_000913.3_3412	1	0.3333333333333333
NC_000913.3_1651	NC_000913.3_1650	1	1.0
NC_000913.3_2252	NC_000913.3_1911	1	0.05555555555555555
NC_000913.3_2249	NC_000913.3_2164	1	0.125
NC_000913.3_2249	NC_000913.3_2250	1	1.0
NC_000913.3_1021	NC_000913.3_1199	1	0.25
NC_000913.3_1021	NC_000913.3_1201	1	0.25
NC_000913.3_1021	NC_000913.3_1466	1	0.25
NC_000913.3_3426	NC_000913.3_3427	1	1.0
NC_000913.3_2950	NC_000913.3_2949	1	1.0
NC_000913.3_3722	NC_000913.3_3721	1	1.0
NC_000913.3_998	NC_000913.3_999	1	1.0
NC_000913.3_2690	NC_000913.3_2691	1	1.0
NC_000913.3_4091	NC_000913.3_4092	1	1.0
NC_000913.3_1810	NC_000913.3_1809	1	0.3333333333333333
NC_000913.3_2322	NC_000913.3_2323	1	1.0
NC_000913.3_3275	NC_000913.3_3274	1	1.0
NC_000913.3_4025	NC_000913.3_243	1	0.0625
NC_000913.3_4025	NC_000913.3_2630	1	0.25
NC_000913.3_4025	NC_000913.3_250	1	0.08333333333333333
NC_000913.3_1370	NC_000913.3_1369	1	1.0
NC_000913.3_3562	NC_000913.3_3561	1	1.0
NC_000913.3_3562	NC_000913.3_3563	1	1.0
NC_000913.3_3554	NC_000913.3_2765	1	1.0
NC_000913.3_2305	NC_000913.3_2304	1	1.0
NC_000913.3_2305	NC_000913.3_2306	1	1.0
NC_000913.3_3212	NC_000913.3_3211	1	1.0
NC_000913.3_3212	NC_000913.3_3213	1	1.0
NC_000913.3_498	NC_000913.3_497	1	1.0
NC_000913.3_843	NC_000913.3_844	1	1.0
NC_000913.3_1943	NC_000913.3_3688	1	0.08333333333333333
NC_000913.3_2758	NC_000913.3_1931	1	0.5
NC_000913.3_2758	NC_000913.3_2759	1	0.5
NC_000913.3_1936	NC_000913.3_355	1	0.2
NC_000913.3_1936	NC_000913.3_357	1	0.2
NC_000913.3_4150	NC_000913.3_2726	1	0.25
NC_000913.3_4150	NC_000913.3_1725	1	0.5
NC_000913.3_2507	NC_000913.3_2506	1	1.0
NC_000913.3_2507	NC_000913.3_2508	1	1.0
NC_000913.3_2830	NC_000913.3_2829	1	1.0
NC_000913.3_1853	NC_000913.3_1852	1	1.0
NC_000913.3_27	NC_000913.3_26	1	1.0
NC_000913.3_3057	NC_000913.3_3058	1	1.0
NC_000913.3_463	NC_000913.3_462	1	1.0
NC_000913.3_3515	NC_000913.3_3514	1	1.0
NC_000913.3_3515	NC_000913.3_3516	1	1.0
NC_000913.3_2446	NC_000913.3_2445	1	1.0
NC_000913.3_2970	NC_000913.3_2384	1	1.0
NC_000913.3_603	NC_000913.3_2604	1	1.0
NC_000913.3_2171	NC_000913.3_2170	1	1.0
NC_000913.3_2171	NC_000913.3_2172	1	1.0
NC_000913.3_2302	NC_000913.3_2303	1	1.0
NC_000913.3_3917	NC_000913.3_3381	1	0.3333333333333333
NC_000913.3_2323	NC_000913.3_2729	1	0.25
NC_000913.3_2641	NC_000913.3_2640	1	1.0
NC_000913.3_389	NC_000913.3_390	1	1.0
NC_000913.3_3217	NC_000913.3_3218	1	1.0
NC_000913.3_1421	NC_000913.3_661	1	0.0625
NC_000913.3_871	NC_000913.3_870	1	1.0
NC_000913.3_871	NC_000913.3_3835	1	1.0
NC_000913.3_2167	NC_000913.3_2166	1	1.0
NC_000913.3_2167	NC_000913.3_2168	1	1.0
NC_000913.3_2508	NC_000913.3_2223	1	0.125
NC_000913.3_3462	NC_000913.3_3461	1	1.0
NC_000913.3_3462	NC_000913.3_52	1	1.0
NC_000913.3_3812	NC_000913.3_3811	1	1.0
NC_000913.3_3812	NC_000913.3_3813	1	1.0
NC_000913.3_3464	NC_000913.3_3465	1	1.0
NC_000913.3_1903	NC_000913.3_2173	1	0.015151515151515152
NC_000913.3_2550	NC_000913.3_2551	1	1.0
NC_000913.3_1687	NC_000913.3_1688	1	1.0
NC_000913.3_3670	NC_000913.3_590	1	0.5
NC_000913.3_3670	NC_000913.3_3671	1	1.0
NC_000913.3_1101	NC_000913.3_2967	1	1.0
NC_000913.3_489	NC_000913.3_1433	1	1.0
NC_000913.3_3525	NC_000913.3_265	1	0.25
NC_000913.3_3673	NC_000913.3_1575	1	1.0
NC_000913.3_1504	NC_000913.3_2756	1	0.5
NC_000913.3_1154	NC_000913.3_1908	1	0.09090909090909091
NC_000913.3_2231	NC_000913.3_2230	1	1.0
NC_000913.3_2231	NC_000913.3_2232	1	1.0
NC_000913.3_2075	NC_000913.3_2074	1	1.0
NC_000913.3_2075	NC_000913.3_2076	1	1.0
NC_000913.3_1446	NC_000913.3_1447	1	0.5
NC_000913.3_1827	NC_000913.3_3985	1	1.0
NC_000913.3_1849	NC_000913.3_3064	1	0.08333333333333333
NC_000913.3_1849	NC_000913.3_1892	1	0.16666666666666666
NC_000913.3_1849	NC_000913.3_4079	1	0.16666666666666666
NC_000913.3_83	NC_000913.3_82	1	1.0
NC_000913.3_83	NC_000913.3_84	1	0.5
NC_000913.3_3364	NC_000913.3_3795	1	0.5
NC_000913.3_4178	NC_000913.3_4179	1	1.0
NC_000913.3_3174	NC_000913.3_3175	1	1.0
NC_000913.3_2988	NC_000913.3_2987	1	1.0
NC_000913.3_2988	NC_000913.3_3557	1	0.2
NC_000913.3_1650	NC_000913.3_1649	1	1.0
NC_000913.3_1669	NC_000913.3_1668	1	1.0
NC_000913.3_1669	NC_000913.3_1670	1	1.0
NC_000913.3_916	NC_000913.3_915	1	1.0
NC_000913.3_916	NC_000913.3_917	1	1.0
NC_000913.3_1128	NC_000913.3_1127	1	1.0
NC_000913.3_2230	NC_000913.3_2229	1	1.0
NC_000913.3_2282	NC_000913.3_2283	1	1.0
NC_000913.3_2160	NC_000913.3_2161	1	1.0
NC_000913.3_439	NC_000913.3_440	1	1.0
NC_000913.3_2345	NC_000913.3_833	1	0.16666666666666666
NC_000913.3_4200	NC_000913.3_4201	1	1.0
NC_000913.3_1278	NC_000913.3_3513	1	1.0
NC_000913.3_275	NC_000913.3_274	1	1.0
NC_000913.3_98	NC_000913.3_68	1	0.5
NC_000913.3_98	NC_000913.3_99	1	1.0
NC_000913.3_1402	NC_000913.3_1282	1	0.125
NC_000913.3_1402	NC_000913.3_601	1	0.041666666666666664
NC_000913.3_1402	NC_000913.3_1112	1	0.125
NC_000913.3_3084	NC_000913.3_537	1	1.0
NC_000913.3_3084	NC_000913.3_3085	1	1.0
NC_000913.3_2264	NC_000913.3_2263	1	1.0
NC_000913.3_3894	NC_000913.3_3895	1	1.0
NC_000913.3_2002	NC_000913.3_2001	1	1.0
NC_000913.3_2002	NC_000913.3_2003	1	0.5
NC_000913.3_1195	NC_000913.3_1196	1	1.0
NC_000913.3_3729	NC_000913.3_3728	1	1.0
NC_000913.3_2559	NC_000913.3_2558	1	1.0
NC_000913.3_4216	NC_000913.3_4217	1	1.0
NC_000913.3_334	NC_000913.3_333	1	1.0
NC_000913.3_1793	NC_000913.3_3791	1	0.16666666666666666
NC_000913.3_314	NC_000913.3_313	1	1.0
NC_000913.3_314	NC_000913.3_3183	1	0.3333333333333333
NC_000913.3_3832	NC_000913.3_3833	1	1.0
NC_000913.3_544	NC_000913.3_548	1	0.16666666666666666
NC_000913.3_544	NC_000913.3_545	1	1.0
NC_000913.3_3879	NC_000913.3_2065	1	0.5
NC_000913.3_454	NC_000913.3_3198	1	0.25
NC_000913.3_3130	NC_000913.3_3129	1	1.0
NC_000913.3_3130	NC_000913.3_3131	1	1.0
NC_000913.3_3214	NC_000913.3_3213	1	1.0
NC_000913.3_2350	NC_000913.3_2349	1	1.0
NC_000913.3_2350	NC_000913.3_2351	1	1.0
NC_000913.3_3312	NC_000913.3_2599	1	0.125
NC_000913.3_4085	NC_000913.3_4084	1	1.0
NC_000913.3_4085	NC_000913.3_4086	1	0.5
NC_000913.3_351	NC_000913.3_352	1	1.0
NC_000913.3_2695	NC_000913.3_2696	1	1.0
NC_000913.3_3090	NC_000913.3_191	1	0.3333333333333333
NC_000913.3_3090	NC_000913.3_2943	1	0.3333333333333333
NC_000913.3_3090	NC_000913.3_2797	1	0.010101010101010102
NC_000913.3_1506	NC_000913.3_1507	1	1.0
NC_000913.3_2715	NC_000913.3_2716	1	1.0
NC_000913.3_279	NC_000913.3_280	1	1.0
NC_000913.3_227	NC_000913.3_226	1	1.0
NC_000913.3_338	NC_000913.3_4294	1	1.0
NC_000913.3_74	NC_000913.3_1510	1	0.16666666666666666
NC_000913.3_74	NC_000913.3_834	1	0.5
NC_000913.3_1812	NC_000913.3_4182	1	0.125
NC_000913.3_3416	NC_000913.3_3415	1	1.0
NC_000913.3_1499	NC_000913.3_2245	1	0.5
NC_000913.3_3825	NC_000913.3_3824	1	1.0
NC_000913.3_2417	NC_000913.3_2418	1	1.0
NC_000913.3_671	NC_000913.3_670	1	1.0
NC_000913.3_3409	NC_000913.3_3408	1	1.0
NC_000913.3_3773	NC_000913.3_3774	1	1.0
NC_000913.3_3074	NC_000913.3_3073	1	1.0
NC_000913.3_3074	NC_000913.3_3075	1	1.0
NC_000913.3_1465	NC_000913.3_1464	1	1.0
NC_000913.3_12	NC_000913.3_11	1	1.0
NC_000913.3_31	NC_000913.3_30	1	1.0
NC_000913.3_2048	NC_000913.3_3853	1	0.5
NC_000913.3_3203	NC_000913.3_3204	1	1.0
NC_000913.3_3094	NC_000913.3_3093	1	1.0
NC_000913.3_1235	NC_000913.3_3401	1	0.3333333333333333
NC_000913.3_3133	NC_000913.3_3132	1	1.0
NC_000913.3_3133	NC_000913.3_3134	1	1.0
NC_000913.3_2288	NC_000913.3_1911	1	0.05555555555555555
NC_000913.3_1186	NC_000913.3_1185	1	1.0
NC_000913.3_2016	NC_000913.3_2015	1	1.0
NC_000913.3_2016	NC_000913.3_2017	1	1.0
NC_000913.3_2776	NC_000913.3_2777	1	1.0
NC_000913.3_1124	NC_000913.3_1123	1	1.0
NC_000913.3_2653	NC_000913.3_2654	1	1.0
NC_000913.3_3510	NC_000913.3_3511	1	0.5
NC_000913.3_1212	NC_000913.3_1227	1	0.3333333333333333
NC_000913.3_806	NC_000913.3_805	1	1.0
NC_000913.3_806	NC_000913.3_807	1	1.0
NC_000913.3_3631	NC_000913.3_3630	1	1.0
NC_000913.3_1106	NC_000913.3_1107	1	1.0
NC_000913.3_1542	NC_000913.3_1046	1	0.14285714285714285
NC_000913.3_1542	NC_000913.3_1048	1	0.14285714285714285
NC_000913.3_1542	NC_000913.3_420	1	0.14285714285714285
NC_000913.3_142	NC_000913.3_141	1	1.0
NC_000913.3_2115	NC_000913.3_2116	1	1.0
NC_000913.3_3092	NC_000913.3_472	1	0.5
NC_000913.3_3204	NC_000913.3_3205	1	1.0
NC_000913.3_2792	NC_000913.3_2793	1	1.0
NC_000913.3_1891	NC_000913.3_1892	1	1.0
NC_000913.3_3976	NC_000913.3_1918	1	0.125
NC_000913.3_3976	NC_000913.3_1920	1	0.125
NC_000913.3_3976	NC_000913.3_4138	1	0.125
NC_000913.3_3976	NC_000913.3_197	1	0.025
NC_000913.3_3976	NC_000913.3_521	1	0.0625
NC_000913.3_3976	NC_000913.3_3023	1	0.0625
NC_000913.3_3976	NC_000913.3_2599	1	0.015625
NC_000913.3_4233	NC_000913.3_4232	1	1.0
NC_000913.3_4233	NC_000913.3_4234	1	1.0
NC_000913.3_2161	NC_000913.3_2041	1	0.5
NC_000913.3_1763	NC_000913.3_2106	1	0.16666666666666666
NC_000913.3_243	NC_000913.3_2475	1	0.05
NC_000913.3_243	NC_000913.3_2720	1	0.25
NC_000913.3_474	NC_000913.3_859	1	0.5
NC_000913.3_474	NC_000913.3_1576	1	0.5
NC_000913.3_2937	NC_000913.3_2936	1	1.0
NC_000913.3_2937	NC_000913.3_661	1	0.0625
NC_000913.3_2170	NC_000913.3_2169	1	0.5
NC_000913.3_2183	NC_000913.3_2184	1	1.0
NC_000913.3_2583	NC_000913.3_954	1	0.3333333333333333
NC_000913.3_486	NC_000913.3_487	1	1.0
NC_000913.3_1114	NC_000913.3_2274	1	0.5
NC_000913.3_332	NC_000913.3_333	1	1.0
NC_000913.3_3162	NC_000913.3_3163	1	1.0
NC_000913.3_39	NC_000913.3_40	1	0.5
NC_000913.3_1197	NC_000913.3_2082	1	0.5
NC_000913.3_841	NC_000913.3_840	1	1.0
NC_000913.3_3585	NC_000913.3_3584	1	1.0
NC_000913.3_3585	NC_000913.3_3586	1	1.0
NC_000913.3_3131	NC_000913.3_3132	1	1.0
NC_000913.3_937	NC_000913.3_1327	1	0.5
NC_000913.3_3637	NC_000913.3_3636	1	1.0
NC_000913.3_3637	NC_000913.3_3638	1	1.0
NC_000913.3_3329	NC_000913.3_3328	1	1.0
NC_000913.3_3329	NC_000913.3_2102	1	0.05555555555555555
NC_000913.3_193	NC_000913.3_194	1	1.0
NC_000913.3_559	NC_000913.3_560	1	1.0
NC_000913.3_2455	NC_000913.3_2454	1	1.0
NC_000913.3_2455	NC_000913.3_2456	1	1.0
NC_000913.3_705	NC_000913.3_2599	1	0.125
NC_000913.3_2941	NC_000913.3_411	1	0.125
NC_000913.3_3780	NC_000913.3_1483	1	0.09090909090909091
NC_000913.3_3780	NC_000913.3_2581	1	0.09090909090909091
NC_000913.3_3780	NC_000913.3_4256	1	0.006993006993006993
NC_000913.3_3780	NC_000913.3_3246	1	0.09090909090909091
NC_000913.3_1011	NC_000913.3_3923	1	0.5
NC_000913.3_1240	NC_000913.3_413	1	1.0
NC_000913.3_1240	NC_000913.3_1241	1	1.0
NC_000913.3_4044	NC_000913.3_4197	1	1.0
NC_000913.3_2163	NC_000913.3_2041	1	0.5
NC_000913.3_2163	NC_000913.3_2164	1	0.125
NC_000913.3_2730	NC_000913.3_293	1	0.2
NC_000913.3_631	NC_000913.3_632	1	1.0
NC_000913.3_3720	NC_000913.3_3719	1	1.0
NC_000913.3_3720	NC_000913.3_3721	1	1.0
NC_000913.3_2723	NC_000913.3_2722	1	0.3333333333333333
NC_000913.3_2723	NC_000913.3_2724	1	0.3333333333333333
NC_000913.3_1453	NC_000913.3_3170	1	1.0
NC_000913.3_1120	NC_000913.3_2471	1	0.5
NC_000913.3_133	NC_000913.3_132	1	1.0
NC_000913.3_133	NC_000913.3_134	1	1.0
NC_000913.3_3078	NC_000913.3_3079	1	1.0
NC_000913.3_452	NC_000913.3_2531	1	1.0
NC_000913.3_2493	NC_000913.3_2494	1	1.0
NC_000913.3_3803	NC_000913.3_3804	1	1.0
NC_000913.3_2216	NC_000913.3_2215	1	1.0
NC_000913.3_984	NC_000913.3_983	1	1.0
NC_000913.3_984	NC_000913.3_985	1	1.0
NC_000913.3_4303	NC_000913.3_4302	1	1.0
NC_000913.3_807	NC_000913.3_808	1	1.0
NC_000913.3_503	NC_000913.3_1657	1	1.0
NC_000913.3_1860	NC_000913.3_1859	1	1.0
NC_000913.3_1860	NC_000913.3_1861	1	1.0
NC_000913.3_1940	NC_000913.3_1939	1	1.0
NC_000913.3_1419	NC_000913.3_1418	1	1.0
NC_000913.3_1419	NC_000913.3_1420	1	1.0
NC_000913.3_3230	NC_000913.3_3764	1	1.0
NC_000913.3_3230	NC_000913.3_1773	1	0.06666666666666667
NC_000913.3_241	NC_000913.3_2471	1	0.5
NC_000913.3_241	NC_000913.3_242	1	1.0
NC_000913.3_5	NC_000913.3_1256	1	0.16666666666666666
NC_000913.3_5	NC_000913.3_2102	1	0.009259259259259259
NC_000913.3_5	NC_000913.3_1222	1	0.027777777777777776
NC_000913.3_3422	NC_000913.3_1102	1	0.5
